	0	1	2	3	4	5	6	7	8	9
0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
2095	græs	1	1.a	0.48505347967147827	2	0	11	1	0	0
2096	græs	1	1.b	0.2430267333984375	1	0	11	1	0	0
2097	græs	1.a	1.b	0.35886722803115845	1	0	0	1	0	0
2098	græskar	1	1.a	0.335552453994751	2	0	1	1	0	1
2099	grøft	1	1.a	0.7070815861225128	0	0	1	1	1	1
2100	grøft	1	1.b	0.7247255146503448	0	0	6	1	1	1
2101	grøft	1.a	1.b	0.7074822187423706	0	0	5	1	2	0
2102	grøn	1	1.a	0.3572956919670105	0	0	8	1	0	1
2103	grøn	1	2.a	0.7272014021873474	1	0	5	0	0	1
2104	grøn	1	3	0.35169583559036255	0	0	10	0	0	1
2105	grøn	1	4	0.6124716699123383	0	0	10	0	0	1
2106	grøn	1.a	2.a	0.6071591079235077	0	0	3	0	0	1
2107	grøn	1.a	3	0.5874583721160889	0	0	2	0	0	1
2108	grøn	1.a	4	0.6304533183574677	0	0	2	0	0	1
2109	grøn	2.a	3	0.5988501906394958	0	0	5	0	0	1
2110	grøn	2.a	4	0.548215240240097	0	0	5	0	0	1
2111	grøn	3	4	0.4849157929420471	0	0	0	0	0	1
2112	gud	1	2	0.17891347408294678	3	0	8	0	0	1
2113	guerilla	1	1.a	0.4082408547401428	1	0	1	1	0	0
2114	guide	1	1.a	0.30916911363601685	3	1	1	1	0	0
2115	guide	1	2	0.48929935693740845	1	0	2	0	0	1
2116	guide	1	2.a	0.4389866590499878	1	0	0	0	0	1
2117	guide	1.a	2	0.5810141563415527	1	0	1	0	0	1
2118	guide	1.a	2.a	0.593988299369812	1	0	1	0	0	1
2119	guide	2	2.a	0.4526563882827759	3	0	2	1	0	0
2120	gulerod	1	1.a	0.436076283454895	3	0	8	1	0	1
2121	gulerod	1	2	0.7016347348690033	0	0	2	0	0	1
2122	gulerod	1.a	2	0.5754369795322418	0	0	6	0	0	1
2123	gulv	1	1.a	0.30558162927627563	3	0	11	1	0	0
2124	gulv	1	2	0.5680383443832397	3	0	8	0	0	1
2125	gulv	1	3	0.4129455089569092	1	0	13	0	0	1
2126	gulv	1.a	2	0.5822548568248749	3	0	3	0	0	1
2127	gulv	1.a	3	0.387973427772522	1	0	2	0	0	1
2128	gulv	2	3	0.7091234624385834	1	0	5	0	0	1
2129	guvernør	1	1.a	0.41001635789871216	3	0	0	1	0	1
2130	gynge	1	1.a	0.4106053113937378	0	0	7	1	0	1
2131	gynge	1	1.b	0.2939887046813965	3	0	8	1	0	1
2132	gynge	1	1.c	0.5777540504932404	0	0	4	1	1	1
2133	gynge	1	2	0.4920816421508789	0	0	7	0	0	1
2134	gynge	1.a	1.b	0.48431116342544556	0	0	1	1	0	1
2135	gynge	1.a	1.c	0.5768634080886841	0	0	3	1	1	1
2136	gynge	1.a	2	0.3304629325866699	0	0	0	0	0	1
2137	gynge	1.b	1.c	0.6616438329219818	0	0	4	1	1	1
2138	gynge	1.b	2	0.4896667003631592	0	0	1	0	0	1
2139	gynge	1.c	2	0.5600759088993073	0	0	3	0	1	1
2140	gård	1	3	0.46063947677612305	1	0	2	0	0	1
2141	gætte	1	1.a	0.3643074631690979	0	1	8	1	0	0
2142	hak	1	2	0.5308447480201721	0	0	0	0	0	1
2143	hak	1	3	0.5049376785755157	0	0	0	0	0	1
2144	hak	1	3.a	0.7188140153884888	0	0	3	0	0	1
2145	hak	1	4	0.6888694167137146	0	0	2	0	0	1
2146	hak	2	3	0.5441183149814606	0	0	0	0	0	1
2147	hak	2	3.a	0.694098025560379	0	0	3	0	0	1
2148	hak	2	4	0.6178922057151794	1	0	2	0	0	1
2149	hak	3	3.a	0.4893355369567871	2	0	3	1	0	0
2150	hak	3	4	0.7659352570772171	0	0	2	0	0	1
2151	hak	3.a	4	0.8730679601430893	0	0	5	0	0	1
2152	hal	1	1.a	0.16319257020950317	3	0	1	1	0	0
2153	hal	1	2	0.34296149015426636	2	0	1	0	0	1
2154	hal	1.a	2	0.3510435223579407	2	0	0	0	0	1
2155	hale	1	1.a	0.5250306129455566	0	0	5	1	1	1
2156	hale	1	1.b	0.6258170306682587	2	0	7	1	1	1
2157	hale	1	2	0.5627759397029877	0	0	6	0	0	1
2158	hale	1.a	1.b	0.5792036354541779	0	0	2	1	2	1
2159	hale	1.a	2	0.7111839354038239	0	0	1	0	1	1
2160	hale	1.b	2	0.8406836986541748	0	0	1	0	1	1
2161	hals	1	1.a	0.6039464473724365	3	0	1	1	0	1
2162	hals	1	2	0.46600669622421265	0	0	1	0	0	1
2163	hals	1.a	2	0.5910472273826599	0	0	2	0	0	1
2164	halv	1	1.a	0.4445646405220032	0	0	18	1	0	0
2165	halv	1	1.b	0.6064876914024353	0	0	6	1	0	0
2166	halv	1	1.c	0.657326728105545	0	0	5	1	0	1
2167	halv	1	2	0.5970472693443298	0	0	0	0	0	1
2168	halv	1.a	1.b	0.407714307308197	0	0	24	1	0	0
2169	halv	1.a	1.c	0.6562234461307526	0	0	23	1	0	1
2170	halv	1.a	2	0.5695235431194305	0	0	18	0	0	1
2171	halv	1.b	1.c	0.49096983671188354	0	0	1	1	0	1
2172	halv	1.b	2	0.7176199853420258	0	0	6	0	0	1
2173	halv	1.c	2	0.760624572634697	0	0	5	0	0	1
2174	halvkugle	1	2	0.6394337713718414	1	0	5	0	0	1
2175	hammer	1	1.a	0.36026275157928467	3	0	5	1	0	1
2176	handel	1	2	0.3186092972755432	0	0	4	0	0	1
2177	handicap	1	1.a	0.48940742015838623	0	0	11	1	0	1
2178	handle	1	2	0.37093400955200195	2	0	1	0	0	1
2179	handle	1	2.a	0.38186097145080566	1	0	2	0	0	1
2180	handle	1	2.b	0.46109455823898315	2	0	1	0	0	1
2181	handle	1	2.c	0.31262892484664917	0	0	2	0	1	1
2182	handle	2	2.a	0.35164737701416016	2	0	1	1	0	0
2183	handle	2	2.b	0.3771231770515442	3	0	0	1	0	0
2184	handle	2	2.c	0.3879346251487732	0	0	1	1	1	1
2185	handle	2.a	2.b	0.17151284217834473	2	0	1	1	0	0
2186	handle	2.a	2.c	0.34681278467178345	0	0	0	1	1	1
2187	handle	2.b	2.c	0.4059664011001587	0	0	1	1	1	1
2188	handling	1	1.a	0.6200433671474457	1	0	12	1	0	0
2189	handling	1	2	0.5437407195568085	0	0	10	0	0	1
2190	handling	1.a	2	0.4506424069404602	0	0	2	0	0	1
2191	handske	1	1.a	0.5205743312835693	3	0	11	1	0	1
2192	handske	1	1.b	0.542212724685669	3	0	12	1	0	1
2193	handske	1.a	1.b	0.530036598443985	3	0	1	1	0	0
2194	hane	1	1.a	0.22277498245239258	2	0	1	1	0	0
2195	hane	1	2	0.7178425192832947	1	0	7	0	0	1
2196	hane	1.a	2	0.8338648974895477	1	0	8	0	0	1
2197	hardware	1	1.a	0.3034400939941406	2	0	3	1	0	0
2198	harmoni	1	2	0.6342976987361908	0	0	14	0	0	1
2199	hastighed	1	1.a	0.5926618874073029	0	0	8	1	0	0
2200	hav	1	1.a	0.3144092559814453	3	0	1	1	0	0
2201	hav	1	1.b	0.32584720849990845	2	0	6	1	0	0
2202	hav	1	1.c	0.2890337109565735	2	0	1	1	0	0
2203	hav	1	1.d	0.32081669569015503	0	0	4	1	1	1
2204	hav	1.a	1.b	0.5242496430873871	2	0	7	1	0	0
2205	hav	1.a	1.c	0.4983590245246887	2	0	0	1	0	0
2206	hav	1.a	1.d	0.48920655250549316	0	0	5	1	1	1
2207	hav	1.b	1.c	0.6782702803611755	3	0	7	1	0	0
2208	hav	1.b	1.d	0.5421125590801239	0	0	2	1	1	1
2209	hav	1.c	1.d	0.27980703115463257	0	0	5	1	1	1
2210	have	1	1.a	0.2865864634513855	0	0	13	1	0	1
2211	have	1	1.b	0.4283948540687561	0	0	7	1	0	1
2212	have	1.a	1.b	0.4081586003303528	0	0	6	1	0	0
2213	havn	1	1.a	0.6624656319618225	0	0	11	1	1	1
2214	havn	1	2	0.36283642053604126	1	0	10	0	0	0
2215	havn	1.a	2	0.5591404438018799	0	0	1	0	1	1
2216	hed	1	1.a	0.3992000222206116	2	0	8	1	0	0
2217	hed	1	2	0.7808753103017807	1	0	5	0	0	1
2218	hed	1	2.a	0.6220170259475708	1	0	5	0	0	1
2219	hed	1.a	2	0.707132875919342	1	0	3	0	0	1
2220	hed	1.a	2.a	0.652386873960495	1	0	3	0	0	1
2221	hed	2	2.a	0.29666656255722046	2	0	0	1	0	0
2222	hegn	1	2	0.2935445308685303	0	0	1	0	0	0
2223	heks	1	2	0.4975981116294861	0	0	2	0	0	1
2224	heks	1	2.a	0.6078273355960846	0	0	0	0	1	1
2225	heks	2	2.a	0.4037613272666931	2	0	2	1	1	1
2226	hel	1	1.a	0.3981510400772095	0	0	7	1	0	1
2227	hel	1	1.b	0.6806306838989258	0	0	7	1	0	1
2228	hel	1	2	0.47040635347366333	0	0	7	0	0	1
2229	hel	1	3	0.44016897678375244	0	0	1	0	0	1
2230	hel	1.a	1.b	0.6630083620548248	0	0	0	1	0	0
2231	hel	1.a	2	0.5631119608879089	0	0	0	0	0	1
2232	hel	1.a	3	0.48264050483703613	0	0	6	0	0	1
2233	hel	1.b	2	0.733881801366806	0	0	0	0	0	1
2234	hel	1.b	3	0.7104692459106445	0	0	6	0	0	1
2235	hel	2	3	0.38709938526153564	0	0	6	0	0	1
2236	held	1	1.a	0.4087531566619873	1	0	3	1	0	0
2237	heldig	1	1.a	0.21357685327529907	1	0	0	1	0	0
2238	heldig	1	1.b	0.5254111289978027	0	0	1	1	0	0
2239	heldig	1.a	1.b	0.6975683569908142	0	0	1	1	0	0
2240	hele	1	1.a	0.38831597566604614	0	0	1	1	1	1
2241	hele	1	2	0.12752783298492432	4	0	0	0	0	1
2242	hele	1	2.a	0.44130122661590576	0	0	2	0	1	1
2243	hele	1.a	2	0.45368194580078125	0	0	1	0	1	1
2244	hele	1.a	2.a	0.3397165536880493	0	0	1	0	2	1
2245	hele	2	2.a	0.46551597118377686	0	0	2	1	1	1
2246	helgen	1	1.a	0.5444723665714264	2	0	0	1	1	1
2247	helligdom	1	1.a	0.6678435206413269	0	0	4	1	1	1
2248	helse	1	1.a	0.5889439284801483	2	0	3	1	0	0
2249	helst	1	1.a	0.265238881111145	0	0	1	1	0	0
2250	helst	1	1.b	0.23395967483520508	0	0	0	1	0	0
2251	helst	1.a	1.b	0.3015947937965393	0	0	1	1	0	0
2252	helt	1	2	0.6257935762405396	0	0	15	0	0	0
2253	helt	1	1.a	0.23778653144836426	2	0	2	1	0	0
2254	helt	1	1.b	0.15267008543014526	2	0	0	1	1	0
2255	helt	1	2	0.3918183445930481	2	0	2	0	0	1
2256	helt	1.a	1.b	0.16651934385299683	2	0	2	1	1	0
2257	helt	1.a	2	0.4757968783378601	2	0	0	0	0	1
2258	helt	1.b	2	0.41783076524734497	2	0	2	0	1	1
2259	helvede	1	1.a	0.5771368741989136	0	0	3	1	1	1
2260	hemmelighed	1	1.a	0.5688344240188599	2	0	22	1	0	0
2261	hemmelighed	1	2	0.7502149492502213	0	0	3	0	0	1
2262	hemmelighed	1.a	2	0.36910849809646606	0	0	19	0	0	1
2263	hengivenhed	1	2	0.3615593910217285	0	0	0	0	0	0
2264	hengivenhed	1	3	0.4205920100212097	0	0	1	0	0	0
2265	hengivenhed	2	3	0.293182373046875	0	0	1	0	0	0
2266	hensigt	1	1.a	0.4130123257637024	0	0	4	1	0	0
2267	hensigt	1	1.b	0.19418901205062866	0	1	7	1	0	0
2268	hensigt	1.a	1.b	0.3841872811317444	0	0	3	1	0	0
2269	henvisning	1	1.a	0.2496103048324585	0	0	0	1	0	1
2270	henvisning	1	2	0.26338136196136475	2	0	1	0	0	1
2271	henvisning	1	3	0.5010885894298553	0	0	0	0	0	0
2272	henvisning	1.a	2	0.377907931804657	0	0	1	0	0	1
2273	henvisning	1.a	3	0.5860858261585236	0	0	0	0	0	1
2274	henvisning	2	3	0.5810306370258331	0	0	1	0	0	1
2275	herre	1	1.a	0.22948241233825684	0	0	3	1	0	0
2276	herre	1	1.b	0.5403006374835968	0	0	2	1	0	0
2277	herre	1.a	1.b	0.37742167711257935	0	0	1	1	0	0
2278	herredømme	1	1.a	0.3621281385421753	0	0	2	1	1	1
2279	hierarki	1	1.a	0.2812521457672119	1	0	7	1	0	1
2280	hilsen	1	2	0.6083326935768127	0	1	9	0	0	1
2281	hilsen	1	2.a	0.6678067147731781	0	0	0	0	0	1
2282	hilsen	2	2.a	0.7514593154191971	3	0	9	1	0	0
2283	himmel	1	2	0.49579840898513794	0	0	3	0	0	1
2284	himmel	1	2.a	0.49364709854125977	0	0	7	0	0	1
2285	himmel	1	3	0.4759531617164612	1	0	6	0	0	1
2286	himmel	2	2.a	0.4341302514076233	0	0	4	1	0	0
2287	himmel	2	3	0.7681572884321213	0	0	3	0	0	1
2288	himmel	2.a	3	0.6631364226341248	0	0	1	0	0	1
2289	hindring	1	2	0.7216085195541382	0	0	2	0	0	1
2290	historisk	1	2	0.617527186870575	0	0	5	0	0	1
2291	historisk	1	3	0.5916683077812195	0	0	6	0	0	1
2292	historisk	2	3	0.5360682606697083	0	0	1	0	0	1
2293	hjem	1	1.a	0.181657612323761	0	0	30	1	0	0
2294	hjem	1	1.b	0.2729230523109436	0	0	30	1	0	1
2295	hjem	1	2	0.3884372115135193	0	0	32	0	0	1
2296	hjem	1	2.a	0.5769757628440857	0	0	24	0	0	1
2297	hjem	1.a	1.b	0.40911465883255005	0	0	0	1	0	1
2298	hjem	1.a	2	0.376462459564209	0	0	2	0	0	1
2299	hjem	1.a	2.a	0.5271900296211243	0	0	6	0	0	1
2300	hjem	1.b	2	0.5358909666538239	0	0	2	0	0	1
2301	hjem	1.b	2.a	0.6859071254730225	0	0	6	0	0	1
2302	hjem	2	2.a	0.5155025124549866	0	0	8	1	0	1
2303	hjem	1	2	0.3816344738006592	0	0	9	0	0	1
2304	hjemme	1	1.a	0.37242650985717773	0	0	31	1	0	0
2305	hjemme	1	2	0.6969539225101471	0	0	26	0	0	1
2306	hjemme	1	3	0.6305376589298248	0	0	31	0	0	1
2307	hjemme	1.a	2	0.5998538732528687	0	0	5	0	0	1
2308	hjemme	1.a	3	0.5550306141376495	0	0	0	0	0	1
2309	hjemme	2	3	0.6800288259983063	0	0	5	0	0	1
2310	hjemsted	1	1.a	0.6587930619716644	2	0	1	1	0	0
2311	hjemsted	1	2	0.16615217924118042	2	0	0	0	0	1
2312	hjemsted	1.a	2	0.728886753320694	2	0	1	0	0	1
2313	hjerne	1	2	0.5309572517871857	0	0	4	0	0	1
2314	hjerne	1	2.a	0.40522825717926025	0	0	4	0	0	1
2315	hjerne	1	3	0.6370835900306702	0	0	4	0	0	1
2316	hjerne	1	4	0.670510858297348	0	0	5	0	0	1
2317	hjerne	2	2.a	0.3895750045776367	0	0	0	1	0	0
2318	hjerne	2	3	0.6251825094223022	0	0	0	0	0	1
2319	hjerne	2	4	0.6111260950565338	0	0	1	0	0	1
2320	hjerne	2.a	3	0.559144914150238	0	0	0	0	0	1
2321	hjerne	2.a	4	0.485809326171875	0	0	1	0	0	1
2322	hjerne	3	4	0.11200249195098877	2	0	1	0	0	0
2323	hjerter	1	1.a	0.38314270973205566	3	0	3	1	0	0
2324	hjul	1	2	0.4431808590888977	3	0	5	0	0	1
2325	hjul	1	2.a	0.6362279653549194	0	0	1	0	1	1
2326	hjul	2	2.a	0.8012680262327194	0	0	4	1	1	1
2327	hjælp	1	1.a	0.34192097187042236	0	1	0	1	0	1
2328	hjælp	1	1.b	0.4087546467781067	0	1	16	1	0	1
2329	hjælp	1.a	1.b	0.289267361164093	1	1	16	1	0	1
2330	hjælpe	1	1.a	0.30145442485809326	0	0	6	1	0	1
2331	hjælpe	1	2	0.42253607511520386	1	0	5	0	0	1
2332	hjælpe	1	2.a	0.34029072523117065	0	0	7	0	0	1
2333	hjælpe	1.a	2	0.30033808946609497	0	0	1	0	0	1
2334	hjælpe	1.a	2.a	0.35396808385849	0	0	1	0	0	1
2335	hjælpe	2	2.a	0.4408634901046753	0	0	2	1	0	0
2336	hjælpeløs	1	1.a	0.626847505569458	0	0	0	1	0	0
2337	hofte	1	1.a	0.6145155727863312	3	0	2	1	0	0
2338	hofte	1	1.b	0.5850940346717834	0	0	2	1	0	0
2339	hofte	1.a	1.b	0.6064029037952423	0	0	0	1	0	0
2340	holdning	1	1.a	0.16842865943908691	2	0	12	1	0	0
2341	holdning	1	2	0.4477599859237671	0	0	11	0	0	1
2342	holdning	1.a	2	0.34501975774765015	0	0	1	0	0	1
2343	homoseksuel	1	1.a	0.3853038549423218	0	0	2	1	0	0
2344	hoppe	1	1.a	0.4027348756790161	1	0	3	1	0	0
2345	hoppe	1	1.b	0.4509233832359314	0	0	1	1	0	0
2346	hoppe	1	2	0.45141178369522095	2	0	4	0	0	1
2347	hoppe	1	2.a	0.4468564987182617	0	0	2	0	0	1
2348	hoppe	1.a	1.b	0.32623666524887085	4	0	2	1	0	0
2349	hoppe	1.a	2	0.40698081254959106	1	1	7	0	0	1
2350	hoppe	1.a	2.a	0.35317569971084595	0	1	1	0	0	1
2351	hoppe	1.b	2	0.32709425687789917	0	0	5	0	0	1
2352	hoppe	1.b	2.a	0.37970417737960815	0	0	1	0	0	1
2353	hoppe	2	2.a	0.4475906491279602	0	1	6	1	0	0
2354	horisont	1	1.a	0.3001120090484619	2	0	4	1	0	0
2355	horisont	1	2	0.5500327944755554	0	0	0	0	0	1
2356	horisont	1	3	0.6378048360347748	0	0	1	0	0	1
2357	horisont	1.a	2	0.5230347812175751	0	0	4	0	0	1
2358	horisont	1.a	3	0.6059576570987701	0	0	3	0	0	1
2359	horisont	2	3	0.4665260314941406	0	0	1	0	0	1
2360	hoste	1	1.a	0.45601481199264526	0	1	4	1	1	1
2361	hovedstad	1	1.a	0.1813948154449463	3	0	1	1	0	0
2362	hovedstad	1	1.b	0.22598087787628174	3	0	3	1	1	0
2363	hovedstad	1.a	1.b	0.20352965593338013	3	0	2	1	1	0
2364	hud	1	2	0.3597932457923889	2	0	0	0	0	1
2365	hue	1	1.a	0.867534339427948	3	0	5	1	0	1
2366	hukommelse	1	1.a	0.4712541699409485	0	0	6	1	0	1
2367	hukommelse	1	2	0.5950214862823486	0	0	4	0	0	1
2368	hukommelse	1	2.a	0.6387971937656403	0	0	7	0	0	1
2369	hukommelse	1.a	2	0.3827899098396301	0	0	2	0	0	1
2370	hukommelse	1.a	2.a	0.5271172821521759	0	0	1	0	0	1
2371	hukommelse	2	2.a	0.44863003492355347	0	0	3	1	0	0
2372	hule	1	1.a	0.4162362217903137	2	0	3	1	0	0
2373	hule	1	1.b	0.35687464475631714	1	0	1	1	0	1
2374	hule	1	1.c	0.4466755986213684	1	0	4	1	1	1
2375	hule	1.a	1.b	0.4238917827606201	1	0	2	1	0	1
2376	hule	1.a	1.c	0.4644007682800293	1	0	1	1	1	1
2377	hule	1.b	1.c	0.29265183210372925	2	0	3	1	1	1
2378	humle	1	1.a	0.43540751934051514	2	0	0	1	0	1
2379	humle	1	2	0.7669802159070969	0	0	3	0	0	1
2380	humle	1.a	2	0.801783412694931	0	0	3	0	0	1
2381	humor	1	1.a	0.36087489128112793	1	0	11	1	0	0
2382	humor	1	1.b	0.27084124088287354	2	0	8	1	0	0
2383	humor	1.a	1.b	0.39915037155151367	1	0	3	1	0	0
2384	hun	1	1.a	0.4295389652252197	1	0	0	1	0	1
2385	hurtig	1	1.a	0.485453724861145	0	0	1	1	0	0
2386	hurtig	1	1.b	0.39047735929489136	1	0	3	1	0	1
2387	hurtig	1	2	0.3698512315750122	1	0	17	0	0	1
2388	hurtig	1	2.a	0.5205109119415283	0	0	13	0	0	1
2389	hurtig	1.a	1.b	0.4785701036453247	0	0	2	1	0	1
2390	hurtig	1.a	2	0.4051560163497925	0	0	16	0	0	1
2391	hurtig	1.a	2.a	0.669260174036026	0	0	12	0	0	1
2392	hurtig	1.b	2	0.47030818462371826	1	0	14	0	0	1
2393	hurtig	1.b	2.a	0.5783594846725464	0	0	10	0	0	1
2394	hurtig	2	2.a	0.4993438124656677	0	0	4	1	0	0
2395	huske	1	2	0.47084927558898926	3	1	6	0	0	1
2396	huske	1	2.a	0.5819739997386932	0	0	9	0	0	1
2397	huske	2	2.a	0.32300692796707153	0	0	15	1	0	1
2398	husleje	1	1.a	0.29840224981307983	2	0	7	1	0	0
2399	medalje	1	2	0.6106115877628326	2	0	9	0	0	1
2400	meddelelse	1	1.a	0.43471789360046387	0	0	6	1	0	0
2401	medføre	1	2	0.37076878547668457	0	0	15	0	0	1
2402	medicin	1	1.a	0.20225578546524048	0	0	14	1	1	1
2403	medicin	1	2	0.3139945864677429	0	0	11	0	0	1
2404	medicin	1.a	2	0.2952812910079956	2	0	3	0	1	1
2405	medie	1	2	0.2080690860748291	0	0	9	0	0	1
2406	medie	1	3	0.44512903690338135	0	0	12	0	0	1
2407	medie	1	5	0.44959086179733276	0	0	13	0	0	1
2408	medie	2	3	0.47141510248184204	0	0	3	0	0	1
2409	medie	2	5	0.4180372357368469	0	0	4	0	0	1
2410	medie	3	5	0.3987581729888916	0	0	1	0	0	1
2411	mejeri	1	1.a	0.5671153366565704	1	0	1	1	0	0
2412	mekanik	1	1.a	0.41299158334732056	0	0	3	1	1	1
2413	mekanik	1	2	0.34342265129089355	0	0	3	0	0	1
2414	mekanik	1.a	2	0.4445338249206543	0	0	0	0	1	1
2415	mekanisk	1	1.b	0.7783219069242477	0	0	5	1	1	1
2416	mekanisk	1	2	0.6570667028427124	0	0	2	0	0	1
2417	mekanisk	1	2.a	0.5301512777805328	0	0	5	0	0	1
2418	mekanisk	1.b	2	0.6966285705566406	0	0	3	0	1	1
2419	mekanisk	1.b	2.a	0.3712354302406311	0	0	0	0	1	1
2420	mekanisk	2	2.a	0.5050740540027618	0	0	3	1	0	0
2421	mekanisme	1	1.a	0.43440568447113037	0	0	2	1	1	1
2422	mekanisme	1	1.b	0.40925389528274536	0	0	2	1	1	1
2423	mekanisme	1.a	1.b	0.2987580895423889	2	0	0	1	2	0
2424	mel	1	2	0.3786647319793701	2	0	3	0	0	1
2425	mellemrum	1	2	0.22869515419006348	0	0	9	0	0	1
2426	mellemrum	1	2.a	0.4307553172111511	0	0	9	0	0	1
2427	mellemrum	2	2.a	0.2343505620956421	1	0	0	1	0	1
2428	melodi	1	1.a	0.4860416054725647	0	0	4	1	0	0
2429	melon	1	1.a	0.3176754117012024	2	0	2	1	0	1
2430	membran	1	2	0.5236464738845825	3	0	0	0	0	1
2431	mening	1	2	0.3295115828514099	0	0	35	0	0	1
2432	mening	1	2.a	0.365896999835968	0	0	24	0	0	1
2433	mening	1	2.b	0.3020951747894287	0	0	33	0	0	1
2434	mening	1	3	0.22491455078125	1	0	28	0	0	1
2435	mening	2	2.a	0.3794791102409363	0	0	11	1	0	0
2436	mening	2	2.b	0.3492947816848755	0	0	2	1	0	0
2437	mening	2	3	0.2763657569885254	0	0	7	0	0	1
2438	mening	2.a	2.b	0.3072567582130432	0	0	9	1	0	0
2439	mening	2.a	3	0.2979104518890381	0	0	4	0	0	1
2440	mening	2.b	3	0.23373931646347046	0	0	5	0	0	1
2441	menneske	1	1.a	0.18480509519577026	2	0	18	1	0	0
2442	menneske	1	1.b	0.28653478622436523	2	0	19	1	0	0
2443	menneske	1.a	1.b	0.2962956428527832	2	0	1	1	0	0
2444	menneskebarn	1	2	0.46986860036849976	2	0	0	0	0	0
2445	menneskedyr	1	2	0.38255059719085693	0	0	0	0	0	1
2446	menneskelig	1	2	0.26717495918273926	0	0	21	0	0	1
2447	menneskelig	1	2.a	0.2438393235206604	1	0	22	0	0	1
2448	menneskelig	1	2.b	0.4635491967201233	0	0	28	0	0	1
2449	menneskelig	1	3	0.21954280138015747	0	0	16	0	0	0
2450	menneskelig	2	2.a	0.27559828758239746	0	0	1	1	0	0
2451	menneskelig	2	2.b	0.5728521943092346	0	0	7	1	0	0
2452	menneskelig	2	3	0.3926405906677246	0	0	5	0	0	1
2453	menneskelig	2.a	2.b	0.4736074209213257	0	0	6	1	0	0
2454	menneskelig	2.a	3	0.385414719581604	0	0	6	0	0	1
2455	menneskelig	2.b	3	0.6051835417747498	0	0	12	0	0	1
2456	menneskevæsen	1	2	0.28468018770217896	0	0	1	0	0	0
2457	mental	1	2	0.5393138825893402	0	0	11	0	0	0
2458	menu	1	1.a	0.24753648042678833	1	0	2	1	0	0
2459	menu	1	1.b	0.369834840297699	0	0	1	1	0	1
2460	menu	1	1.c	0.6196326613426208	0	0	0	1	1	1
2461	menu	1	2	0.48728710412979126	0	0	2	0	0	1
2462	menu	1.a	1.b	0.31905025243759155	1	0	1	1	0	1
2463	menu	1.a	1.c	0.6690239012241364	0	0	2	1	1	1
2464	menu	1.a	2	0.5738279521465302	0	0	0	0	0	1
2465	menu	1.b	1.c	0.614122748374939	0	0	1	1	1	0
2466	menu	1.b	2	0.4309841990470886	0	0	1	0	0	1
2467	menu	1.c	2	0.539378434419632	0	0	2	0	1	1
2468	metal	1	1.a	0.4730323553085327	1	0	1	1	0	0
2469	metode	1	1.a	0.3248410224914551	4	0	15	1	0	0
2470	metodik	1	1.a	0.4790549874305725	0	0	1	1	0	0
2471	sludder	1	2	0.7101560533046722	3	0	3	0	0	1
2472	slutning	1	1.a	0.19320303201675415	0	0	9	1	0	0
2473	slutning	1	1.b	0.7016482949256897	0	0	11	1	0	0
2474	slutning	1	2	0.7261117398738861	0	0	13	0	0	1
2475	slutning	1.a	1.b	0.7254611253738403	0	0	2	1	0	0
2476	slutning	1.a	2	0.697375625371933	0	0	4	0	0	1
2477	slutning	1.b	2	0.4389410614967346	0	0	2	0	0	1
2478	slæde	1	1.a	0.29025793075561523	3	0	0	1	0	0
2479	slæde	1	2	0.5904466509819031	2	0	1	0	0	1
2480	slæde	1	3	0.5075756013393402	3	0	0	0	0	1
2481	slæde	1.a	2	0.5477189123630524	2	0	1	0	0	1
2482	slæde	1.a	3	0.674132764339447	3	0	0	0	0	1
2483	slæde	2	3	0.742724597454071	2	0	1	0	0	1
2484	slægt	1	1.a	0.5144416987895966	0	0	3	1	0	0
2485	slægt	1	1.b	0.17925012111663818	3	0	5	1	0	0
2486	slægt	1	2	0.4621034264564514	0	0	6	0	0	1
2487	slægt	1	3	0.3009834289550781	2	0	2	0	0	1
2488	slægt	1.a	1.b	0.3949752449989319	0	0	2	1	0	0
2489	slægt	1.a	2	0.5173274874687195	0	0	3	0	0	1
2490	slægt	1.a	3	0.4798862934112549	0	0	1	0	0	1
2491	slægt	1.b	2	0.4310149550437927	0	0	1	0	0	1
2492	slægt	1.b	3	0.2516860365867615	2	0	3	0	0	1
2493	slægt	2	3	0.46807533502578735	0	0	4	0	0	1
2494	slægtning	1	2	0.44044387340545654	1	0	7	0	0	1
2495	slægtning	1	2.a	0.5987475514411926	1	0	8	0	0	1
2496	slægtning	2	2.a	0.43871086835861206	1	0	1	1	0	1
2497	slægtskab	1	2	0.5620448887348175	1	0	2	0	0	1
2498	slægtskab	1	2.a	0.48953789472579956	1	0	0	0	0	1
2499	slægtskab	2	2.a	0.3284168839454651	1	0	2	1	0	0
2500	slør	1	1.a	0.4954432249069214	3	0	4	1	0	0
2501	slør	1	1.c	0.7344097793102264	0	0	0	1	1	1
2502	slør	1.a	1.c	0.755006268620491	0	0	4	1	1	1
2503	sløv	1	2	0.7536763995885849	1	0	3	0	0	1
2504	sløv	1	2.a	0.7092622220516205	0	0	1	0	0	1
2505	sløv	2	2.a	0.665203183889389	0	0	4	1	0	0
2506	smag	1	1.a	0.49894535541534424	0	0	21	1	0	0
2507	smag	1	2	0.5427117645740509	0	0	21	0	0	1
